created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-18 14:52:53 UTC,1,,2,,,,MQTTPUBLISH
2021-04-18 14:53:23 UTC,2,4,,,,,MQTTPUBLISH
2021-04-18 14:53:53 UTC,3,,1344,,,,MQTTPUBLISH
2021-04-18 14:54:23 UTC,4,403,,,,,MQTTPUBLISH
2021-04-18 14:54:53 UTC,5,,14,,,,MQTTPUBLISH
2021-04-18 14:55:23 UTC,6,,638,,,,MQTTPUBLISH
2021-04-18 14:55:53 UTC,7,,14,,,,MQTTPUBLISH
2021-04-18 14:56:23 UTC,8,,1344,,,,MQTTPUBLISH
2021-04-18 14:56:53 UTC,9,21,,,,,MQTTPUBLISH
2021-04-18 14:57:23 UTC,10,66,,,,,MQTTPUBLISH
2021-04-18 14:57:53 UTC,11,66,,,,,MQTTPUBLISH
2021-04-18 14:58:23 UTC,12,,60,,,,MQTTPUBLISH
2021-04-18 14:58:53 UTC,13,,11,,,,MQTTPUBLISH
2021-04-18 14:59:24 UTC,14,66,,,,,MQTTPUBLISH
2021-04-18 14:59:54 UTC,15,,559,,,,MQTTPUBLISH
2021-04-18 15:00:24 UTC,16,764,,,,,MQTTPUBLISH
2021-04-18 15:00:54 UTC,17,32,,,,,MQTTPUBLISH
2021-04-18 15:01:24 UTC,18,32,,,,,MQTTPUBLISH
2021-04-18 15:01:54 UTC,19,,30,,,,MQTTPUBLISH
2021-04-18 15:02:24 UTC,20,36,,,,,MQTTPUBLISH
2021-04-18 15:02:54 UTC,21,36,,,,,MQTTPUBLISH
2021-04-18 15:03:24 UTC,22,,42,,,,MQTTPUBLISH
2021-04-18 15:03:54 UTC,23,5,,,,,MQTTPUBLISH
2021-04-18 15:04:24 UTC,24,66,,,,,MQTTPUBLISH
2021-04-18 15:04:54 UTC,25,,20,,,,MQTTPUBLISH
2021-04-18 15:05:24 UTC,26,,3162,,,,MQTTPUBLISH
2021-04-18 15:05:54 UTC,27,,14,,,,MQTTPUBLISH
2021-04-18 15:06:24 UTC,28,,195,,,,MQTTPUBLISH
2021-04-18 15:06:54 UTC,29,1747,,,,,MQTTPUBLISH
2021-04-18 15:07:24 UTC,30,,2,,,,MQTTPUBLISH
2021-04-18 15:07:54 UTC,31,,14,,,,MQTTPUBLISH
2021-04-18 15:08:24 UTC,32,4,,,,,MQTTPUBLISH
2021-04-18 15:08:54 UTC,33,,14,,,,MQTTPUBLISH
2021-04-18 15:09:24 UTC,34,,14,,,,MQTTPUBLISH
2021-04-18 15:09:54 UTC,35,,3162,,,,MQTTPUBLISH
2021-04-18 15:10:24 UTC,36,,3162,,,,MQTTPUBLISH
2021-04-18 15:10:54 UTC,37,,1,,,,MQTTPUBLISH
2021-04-18 15:11:24 UTC,38,,1,,,,MQTTPUBLISH
2021-04-18 15:11:54 UTC,39,,39,,,,MQTTPUBLISH
2021-04-18 15:12:24 UTC,40,31,,,,,MQTTPUBLISH
2021-04-18 15:12:54 UTC,41,,14,,,,MQTTPUBLISH
2021-04-18 15:13:24 UTC,42,,1344,,,,MQTTPUBLISH
2021-04-18 15:13:54 UTC,43,764,,,,,MQTTPUBLISH
2021-04-18 15:14:24 UTC,44,,1344,,,,MQTTPUBLISH
2021-04-18 15:14:54 UTC,45,,3162,,,,MQTTPUBLISH
2021-04-18 15:15:24 UTC,46,,39,,,,MQTTPUBLISH
2021-04-18 15:15:54 UTC,47,14,,,,,MQTTPUBLISH
2021-04-18 15:16:24 UTC,48,2010,,,,,MQTTPUBLISH
2021-04-18 15:16:54 UTC,49,1380,,,,,MQTTPUBLISH
